Name,Address,Rating,Reviews,Price (USD)
NOX West End Lane I,Camden,7.1,409,58
Sino Hotel,Hammersmith and Fulham,5.3,885,51
Olympic House Hotel,Westminster,7.3,2541,105
Cromwell International Hotel,Kensington and Chelsea,4.9,6497,59
CitySpace Borough,Southwark,6.8,1029,98
Comfort Inn Edgware Road W2,Westminster,7.3,2326,76
The Captain Cook,Hammersmith and Fulham,8.5,806,88
Brunel Hotel,Westminster,7.2,1386,104
My Place Hotel,Kensington and Chelsea,6.2,1296,119
"OYO Townhouse New England, London Victoria",Westminster,7.1,2608,106
Thanet Hotel,Camden,4.9,1268,72
Oban Victoria Hotel,Westminster,4,45,66
Epsilon Hotel,Newham,7.4,4184,75
OYO Bakers Hotel London Victoria,Westminster,6.8,1831,114
Sonder Camden Road,Camden,8,2631,121
Blue Sapphire Hotel,Redbridge,7.9,1084,79
Hotel Olympia,Kensington and Chelsea,5,2668,50
OYO London Shelton Hotel,Haringey,6.3,172,71
Maitrise Hotel Maida Vale - London,Brent,6.4,2422,92
Ravna Gora,Kensington and Chelsea,8.1,2495,89
King Solomon Hotel- Golders Green,Barnet,6.1,2509,64
Admiral Hotel at Park Avenue,Westminster,6.9,1536,83
Putera Puteri Residence,Westminster,7.6,373,90
Berkley Apartments,Hackney,7.6,720,86
London Star Hotel,Ealing,7.3,225,64
Anchor Guest House,Barnet,6.4,3418,51
Arran House Hotel,Camden,6.7,3697,96
Boutique Ensuite Room like hotel,Wandsworth,6.2,320,75
Central Studio Like a Hotel Room,Islington,5.5,449,79
Belmont Hotel,Westminster,5.7,1186,79
Craven Hotel,Westminster,4.5,4012,71
The Ship Inn,Tower Hamlets,7.2,429,85
Regal Hotel,Barnet,7,13,120
Glendale Hyde Park Hotel,Westminster,6.3,1435,85
Garden View Hotel,Kensington and Chelsea,6.6,2010,74
PAVILION ROOMS AT NO. 26,Westminster,6.1,86,140
Oliver Hotel,Kensington and Chelsea,6.6,2448,95
ABC Hyde Park Hotel,Westminster,6.6,1767,88
Russell Square Hotel,Camden,4.6,389,66
The Lion & Key Hotel,Waltham Forest,8.1,685,107
G Eighty Four,Hackney,6.8,283,78
SureBillionaire Homes II,Greenwich,7.1,16,999
79 Chats,Brent,5.9,9,175
Kensington Prime Hotel,Kensington and Chelsea,8.1,838,150
Woodford Hotel,Redbridge,7.6,1039,77
Golders Park Hotel,Barnet,5.4,1186,55
Borough High Street Rooms,Southwark,7.5,91,98
Bridge Park Hotel,Brent,6.1,2747,67
Islington Inn,Islington,6.3,1085,93
OYO The Green Man Pub And Hotel,Brent,7.6,588,71
Plaza London Hotel,Tower Hamlets,5.6,1260,89
Hotel Unique,Barnet,7.7,694,81
Roseview Alexandra Palace Hotel,Haringey,6.7,1539,172
Studios next to Emirates Stadium,Islington,6.1,463,85
The Angerstein Hotel,Greenwich,7.6,1670,113
"OYO Abbey Hotel, London Shepherd's Bush Market",Hammersmith and Fulham,7.1,1056,192
Flexistay Aparthotel Tooting,Wandsworth,7.2,915,67
Messina Studios,Camden,7.4,1164,107
Pasha Hotel - 3* Boutique Hotel,Southwark,4.2,1884,78
"OYO The Arch, Wembly Stadium",Brent,7.4,1241,143
Boston Court Hotel,Westminster,5.3,796,93
Forest House Hotel,Haringey,8.1,1199,91
Rose Court Hotel,Westminster,5.1,1334,130
Flexistay Norbury Aparthotel,Croydon,6.9,607,58
Marble Arch Mews Apart'hotel,Westminster,5.8,122,149
Central Hotel Golders Green,Barnet,5.2,1200,114
Tower Bridge Road Rooms,Southwark,6,18,181
World Hotel,Brent,5.2,20,120
"The Tower Hotel, London",Tower Hamlets,7.7,21112,104
"The Hoxton, Southwark",Southwark,8.7,2101,189
"St. James' Court, A Taj Hotel, London",Westminster,8.5,5101,240
NOX Hyde Park,Westminster,8,2025,45
Park Plaza London Waterloo,Lambeth,8.3,14693,144
146 STUDIOS Marylebone,Westminster,7.3,2859,45
Rockwell East-Tower Bridge,Tower Hamlets,8.4,4108,90
Leonardo Royal Hotel London City - Tower of London,City of London,8.5,9127,162
CG Kensington,Kensington and Chelsea,8.1,2470,50
AMANO Covent Garden,Westminster,8.2,6523,165
"The Clermont London, Victoria",Westminster,8.7,6809,203
Blakemore Hyde Park,Westminster,8.3,12267,109
"The Cumberland, London",Westminster,8,7434,178
The Cavendish London,Westminster,8.1,3446,195
Riu Plaza London Victoria,Westminster,8.4,9469,142
Leonardo Royal London Tower Bridge,Tower Hamlets,8.3,11804,131
Signature Townhouse London Hyde Park,Westminster,7,4512,96
Thistle London Piccadilly,Westminster,7.9,2947,188
"The Westminster London, Curio Collection by Hilton",Westminster,8.3,7485,144
Hotel Saint London,City of London,8.6,5995,127
NOX Edgware Road,Westminster,8.1,3145,59
Fielding Hotel,Westminster,8.2,4126,131
Clayton Hotel City of London,Tower Hamlets,8.5,6265,119
"Radisson Blu Hotel, London Canary Wharf East",Tower Hamlets,8.7,9499,116
"The Hoxton, Holborn",Camden,8.4,1703,189
Wellington Hotel by Blue Orchid,Westminster,8.1,2785,107
citizenM Tower of London,City of London,8.6,8415,124
Park Plaza London Westminster Bridge,Lambeth,8.3,24394,184
Apex Temple Court Hotel,City of London,8.9,3729,194
DoubleTree by Hilton London - Hyde Park,Kensington and Chelsea,7.5,2308,127
"Radisson Blu Hotel, London South Kensington - formerly Vanderbilt",Kensington and Chelsea,7.4,5021,144
Victory House Leicester Square,Westminster,7.8,3960,190
NOX Waterloo,Lambeth,8.6,2670,79
"Mornington Hotel London Kensington, BW Premier Collection",Kensington and Chelsea,8,2081,81
Clayton Hotel Chiswick,Hounslow,8.4,4831,100
"Club Quarters Hotel Trafalgar Square, London",Westminster,8.2,5596,194
Clayton Hotel London Wall,City of London,8.9,1425,186
Novotel London West,Hammersmith and Fulham,7.5,5634,102
"Buckle Street Studios by Locke, Aldgate",Tower Hamlets,8.5,2023,76
"Holiday Inn London Kensington High St., an IHG Hotel",Kensington and Chelsea,7.3,10610,98
Mimi's Hotel Soho,Westminster,7.8,3799,143
The Westbridge Hotel Stratford,Newham,8.2,6223,76
Park Avenue J Hotel London Hyde Park,Westminster,8,1608,108
Bermondsey Square Hotel - A Bespoke Hotel,Southwark,7.9,3437,127
Sonder Chelsea Green,Kensington and Chelsea,7.8,2528,133
